,mol_index,smile_list
49,[ 27 195  41  89],CC[C@H](C)[C@H](N)[C@@H](O)CC(=O)[NH][C@@H](C(=O)[NH](C)[C@@H](Cc1ccoc1)C(=O)[NH](C)[C@@H](CC(C)C)C(O)=O)[C@H](O)C(C)C
50,[163  75 211 151],CC(C)C[C@@H](C(=O)[NH][C@H](C(=O)[NH]1CCC[C@@H]1C(O)=O)[C@@H](O)C(=O)O)[NH](C)C(=O)[C@@H]1C[C@H](O)CN[NH2]1
51,[26  8 26 50],C/C=C(\[NH]C(=O)[C@H]1CCCC[NH]1C(=O)[C@H](C)CC/C=C/[NH](C)C(=O)c1cc(O)ccc1N)C(O)=O
52,[109 110  43  50],CC(C)C[C@H](C(=O)[NH][C@H](CO)C(=O)[NH][C@H](Cc1ccccc1)C(O)=O)[NH](C)C(=O)[C@H](N)[C@H](O)C(=O)O
53,[ 37 153  12  20],C=C(N)/C=C/C(=O)NCCC[C@H](N)C(=O)[NH][C@H](CCCCC)[C@H](C)C(=O)[NH][C@H](C)[C@H](O)[C@@H](C)C(O)=O
54,[111 131 178 203],CSCC[C@@H](N)C(=O)[NH][C@H](CCCNC(=N)N)C(=O)[NH](C)[C@@H](C)C(=O)[NH]1CCC[C@H]1[C@H](O)[C@@H](C)C(O)=O
55,[ 82 201  88 144],CC[C@H](C)[C@@H](C(=O)[NH]C[C@H](O)CC(=O)[NH]c1cc(OC)ccc1C(O)=O)[NH](C)C(=O)c1cc(N)co1
56,[ 38 110 139  35],C[NH2][C@H](C(=O)[NH][C@H](CC(=O)[NH][C@@H](C)[C@@H](O)[C@@H](C)C(=O)[NH][C@H](CC(C)C)C(O)=O)C(O)=O)[C@@H](C)O
57,[135 169 183 170],CCC[C@@H]([NH]C(=O)[C@H](N)[C@@H](C)O)[C@H](C)C(=O)[NH]/C=C/C(C)=C\C=C\CC(=O)[NH][C@@H](CC(C)C)[C@@H](O)CC(O)=O
58,[215 139 154  24],CC[NH](CC(=O)[NH][C@H](C(O)=O)[C@H](C)C(=O)O)C(=O)C(C)(C)C(=O)[C@H](C)[NH]C(=O)[C@@H](N)C(=O)c1ccccc1
59,[127 141  24  49],CC(C)C[C@H]([NH]C(=O)C[NH](C)C(=O)[C@@H](N)CCCNC(=O)[C@@H](N)CN)C(=O)C(O)=O
